Veranstalter,Thema,Ort,Datum,Uhrzeit der Versammlung,sheet_name
KulturQuartier Erfurt e.V.,Goldene Zeiten? Wir fordern einen Fahrplan zur Wiedereröffnung von Kultureinrichtungen!,Fischmarkt,2020-05-08 00:00:00,16:30 - 16:45 Uhr,2020
KulturQuartier Erfurt e.V.,Goldene Zeiten? Wir fordern einen Fahrplan zur Wiedereröffnung von Kultureinrichtungen!,Wenigemarkt,2020-05-08 00:00:00,17:00 - 17:30 Uhr,2020
"Einzelperson
ABGESAGT",Gegen soziale Vereinsamung- für mehr Miteinander,Lindenstraße 18 - 20,2020-05-09 00:00:00,17:00 - 22:00,2020
Fridays For Future Erfurt,Klaschen für die Autoindustrie,Schmidtstedter Flur,2020-05-09 00:00:00,14.00 - 16.00 Uhr,2020
Verband kinderreicher Familien Thüringen e.V.,Vereinbarkeit von Familie und Beruf in Corona-Zeiten - Eltern nicht länger vor unlösbare Betreuungssituation stellen.,Domplatz,2020-05-10 00:00:00,14:00 - 16:00 Uhr,2020
Seebrücke Erfurt,#LeaveNoOneBeheind:Landesaufnahmeorgramm jetzt!,Angerdreieck,2020-05-11 00:00:00,17.30 - 19.30 Uhr,2020
Einzelperson,KITA Öffnung,"Staatskanzlei, Anger, Fischmarkt, Domplatz",2020-05-09 00:00:00,10:00 - 12:00 Uhr,2020
Erfurter Tanzschaffende,"Eröffnung (""Nach Corona"") der Tanzschulen unter Einhaltung des Abstandes und Hygienemaßnahmen",Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-05-12 00:00:00,11.55 - 12.30 Uhr,2020
Einzelperson,Esos wegbassen / Ihr seid keine Widerstandskämpfer,Domplatz,2020-05-11 00:00:00,18.45 - 22.00 Uhr,2020
Solidargruppe zum Übergriff beim CSD 2019 ABGESAGT,Begleitung des Prozesses zum gewaltsamen Übergriff während des CSD 2019,"Amtsgericht Erfurt, Domplatz 37",2020-05-13 00:00:00,11.30 - 17.00 Uhr,2020
Präpolitische Parusie P.P.P,Bürgergespräch,Domplatz,2020-05-13 00:00:00,18.00 - 20.00 Uhr,2020
Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz,2020-05-16 00:00:00,15:30 - 17:30 Uhr,2020
Freiheit und Demokratie Bürger für Thüringen e.V.,Klappe Auf! Für Kinderrechte,Anger,2020-05-16 00:00:00,10:00 - 11:00 Uhr,2020
Verein Erfurter Gästeführer e.V. ABGESAGT,Existenzfrage der Thüringer Gästeführer - wovon sollen wir in der Corona-Krise überleben ?,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-05-15 00:00:00,10.00 - 11.00 Uhr,2020
Naturfreunde Thüringen e.V.,Internationaler Tag der Familie,Johannesstraße 127 in 99084 Erfurt,2020-05-15 00:00:00,11.00 - 13.00 Uhr,2020
Einzelperson,Tekno against Fascism - mit Abstanz gegen Rechts,Domplatz,2020-06-01 00:00:00,14:00 - 17:00 Uhr,2020
Auf die Plätze - Bündnis,"Wer mit Nazis marschiert, hat nichts kapiert",Domplatz,2020-05-16 00:00:00,15:00 - 19:00 Uhr,2020
Auf die Plätze - Bündnis,"Wer mit Nazis marschiert, hat nichts kapiert","Domplatz, vor den Domstufen",2020-05-18 00:00:00,18:00 - 22:00 Uhr,2020
Einzelperson,Erhaltung und Modernisierung des Parks am Mühlgraben Gispersleben,Lobensteiner Straße ,2020-05-21 00:00:00,09.00 - 15.00 Uhr,2020
"Aktionsbündnis ""Rettet die Reisebranche""",Lasst die Reisebranche nicht an Corona sterben!,Thüringer Landtag --> Domplatz,2020-05-20 00:00:00,11:15 - 14:00 Uhr,2020
Pro Coronamaßnahmen ABGESAGT,Pro Corona - Für die aktuell geltenden gesetzlichen Schutzmaßnahmen,Roter Berg --> Gispersleben --> Walschleben --> Nöda --> Stotternheim --> Roter Berg,2020-05-21 00:00:00,11:00 - 16:00 Uhr,2020
Fridays For Future Erfurt,Klimademo - Verkehrswende,Willy-Brandt-Platz --> Angerdreieck --> Schlösserstraße --> Marktstraße --> Domplatz --> Domstraße --> Mainzerhofstraße --> Brühler Straße --> Bonifaciusstraße --> Walkmühlstraße --> Juri-Gagarin-Ring (Richtung Norden) --> Johannesstraße --> Stauffenbergallee (Richtung Süden) --> Schillerstraße --> Löberstraße --> Eichenstraße --> Lange Brücke --> Kettenstraße --> Domplatz --> Marktstraße --> Schlösserstraße --> Angerdreieck (Ende),2020-05-22 00:00:00,14:00 - 17:00 Uhr,2020
Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz,2020-05-23 00:00:00,15.00 - 17.00 Uhr,2020
Präpolitisches Picknick P.P.P,Die Initiative präpolitisches Picknick widmet sich auf manifestative und heitere Weise dem Nachdenken und Bürgergespräch über das was alle angeht unter den Bedingungen eingeschränkter Grundrechte,Domplatz,2020-05-27 00:00:00,18.00 - 20.00 Uhr,2020
Bündnis Auf die Plätze,Jede*r Tote ist zu viel - gegen die Nazi Querfront,Domplatz,2020-05-23 00:00:00,14.00 - 20.00 Uhr,2020
Seebrücke Erfurt,#leaveNoOneBeheind: Seebrücke Aktionstag,Fischmarkt,2020-05-23 00:00:00,13.30 - 15.30 Uhr,2020
Sprachcafe Erfurt,Evakuierung der Lager in Griechenland,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-05-20 00:00:00,19.00 - 20.00 Uhr,2020
Jusos Erfurt ABGESAGT ,Kein Weg dem dritten Weg,Thüringer Staatskanzlei,2020-10-03 00:00:00,08:00 - 22:00 Uhr,2020
Seebrücke Erfurt,"Erfurt zum sicheren Hafen, Aktionsmonat #Endejetztwirklich",Anger,2020-05-27 00:00:00,15:30 - 17:30 Uhr,2020
VCD Erfurt,CM - mehr Platz für Rad und Fuß,"Bahnhofsvorplatz (Beginn) --> Kurt-Schumacher-Str. links --> Trommsdorffstraße rechts --> Stauffenbergallee rechts --> Schillerstr. --> Ende Schillerstraße wenden --> Schillerstraße zurück --> links Stauffenbergallee am Schmidtstedter Knoten --> Talknoten links Johannesstraße --> links zum Juri-Gagarin-Ring --> links Walkmühlstraße, Bonifaciusstraße --> rechts Str. d. Friedens, Heinrichstraße --> Binderslebener Knie rechts --> Biereyestraße --> rechts Gutenbergstrße --> rechts Blumenstraße --> rechts Andreasstraße --> links Marktstraße --> Fischmarkt (Ende)",2020-05-29 00:00:00,18:30 - 20:00 Uhr,2020
Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz,2020-05-30 00:00:00,15.00 - 17.00 Uhr,2020
Neues Deutsches Forum,"Gegen Grundrechtenetzug, Falschinformation und Polizeigewalt - Für die Freiheit des Bürgers!",Domplatz und Aufzug Domplatz--> Fischmarkt --> Anger --> Domplatz,2020-05-30 00:00:00,14.00 - 18.00 Uhr,2020
Linksjugend [`solid] Ortsgruppe Erfurt ABGESAGT !!,Kein Weg dem dritten Weg! dem Dritten Weg die Anreise versauen,Willy-Brandt-Platz,2020-10-03 00:00:00,09.00 - 17.00 Uhr,2020
Fridays For Future Erfurt,Klimademo - Abwrackprämie,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-06-02 00:00:00,14.00 - 17.00 Uhr,2020
ver.di Thüringen,Hände weg von unseren freien Samstagen!,Jürgen-Fuchs-Straße 1 (vor Thüringer Landtag),2020-06-02 00:00:00,12.00 - 15.00 Uhr,2020
"Esquina del Tango, Club Argentina e.V.",Initiative zur Rettung der Tangokultur in Deutschland,Fischmarkt ,2020-06-03 00:00:00,11.55 - 12.10 Uhr,2020
Neues Deutsches Forum / Patriotischer Widerstand Deutschland-Thüringen-Sachsen,Gegen Grundrechteentzug - Für Bürgerrechte,Domplatz + Aufzug,2020-06-06 00:00:00,15.00 - 18.00 Uhr,2020
Nicht ohne uns!,Schutz des Grundgesetzes der Bundesrepublik Deutschland,Domplatz (zwischen Obelisk und Domstufen),2020-06-06 00:00:00,15.00 - 18.00 Uhr,2020
SPD Ortsverein Erfurt-West,"Rede des Bundestagsabgeordneten Carsten Schneider zum Thema ""Unterstützung der Kommunalpolitik durch Berlin""",Hinter der Rennbahn 2,2020-06-08 00:00:00,18.30 - 21.00 Uhr,2020
DGB-Jugend Erfurt ABGESAGT !!,KeinWegDemDrittenWeg,Domplatz,2020-10-03 00:00:00,09.00 - 17.00 Uhr,2020
"Wochenzeitung Demokratischer Widerstand (DW), Ärzte für Aufklärung (AFA) ABGESAGT",Demokraktischer Sommer! Für das Grundgesetz und Bodo Ramelows Vorstoß den Ausnahmezustand zu beenden,Domplatz,2020-06-06 00:00:00,14:30 - 16:45 Uhr,2020
Einzelperson,Erfurt leuchtet für George Floyd - Black lives matter Stille Demonstration mit Kerzen,Domplatz,2020-06-12 00:00:00,21:00 - 22:00 Uhr,2020
Auf die Plätze - Bündnis,Band der Solidarität -# SoGehtSolidarisch,Angerdreieck,2020-06-14 00:00:00,14:00 - 17:00 Uhr,2020
Internationalistisches Bündnis Erfurt,"#BlackLivesMatter, Gibt Rassismus keine Chance! Hoch die internationale Solidarität!",Angerdreieck,2020-06-06 00:00:00,15:30 Uhr,2020
Präpolitisches Picknick P.P.P,Die Initiative präpolitisches Picknick widmet sich auf manifestative und heitere Weise dem Nachdenken und Bürgergespräch über das was alle angeht unter den Bedingungen eingeschränkter Grundrechte,Domplatz,2020-06-10 00:00:00,18:00 - 20:00 Uhr,2020
Neues Deutsches Forum / Patriotischer Widerstand Deutschland-Thüringen-Sachsen,Gegen Grundrechteentzug - Für Bürgerrechte,"Domplatz (Kundgebung)
Domplatz --> Fischmarkt --> Anger --> Domplatz (Aufzug 16:00 - 17:00 Uhr)",2020-06-13 00:00:00,15:00 - 18:00 Uhr,2020
Neues Deutsches Forum / Patriotischer Widerstand Deutschland-Thüringen-Sachsen,Gegen Grundrechteentzug - Für Bürgerrechte,"Domplatz (Kundgebung)
Domplatz --> Fischmarkt --> Anger --> Domplatz (Aufzug 16:00 - 17:00 Uhr)",2020-06-20 00:00:00,15:00 - 18:00 Uhr,2020
Neues Deutsches Forum / Patriotischer Widerstand Deutschland-Thüringen-Sachsen,Gegen Grundrechteentzug - Für Bürgerrechte,"Domplatz (Kundgebung)
Domplatz --> Fischmarkt --> Anger --> Domplatz (Aufzug 16:00 - 17:00 Uhr)",2020-06-27 00:00:00,15:00 - 18:00 Uhr,2020
MLPD Thüringen,Für wirksamen Gesundheitsschutz - Kampf dem Krisen-Chaos von Monopolen und Regierung! Gegen Rassismus!,Angerdreieck,2020-06-14 00:00:00,13:45 - 15:30 Uhr,2020
Flüchtlingsrat Thüringen e.V.,Protest zur Innenministerkonferenz,Theatherplatz Erfurt,2020-06-17 00:00:00,15:30 - 20:00 Uhr,2020
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Angerdreieck,2020-06-20 00:00:00,15:00 - 18:00 Uhr,2020
Solidargruppe zum Übergriff beim CSD 2019,Begleitung des Prozesses zum gewaltsamen Übergriff während des CSD 2019,"Amtsgericht Erfurt, Rudolfstraße 46",2020-06-17 00:00:00,09:30 - 17:00 Uhr,2020
Sprachcafe Erfurt,Kritik an Grenzen und Innenministerkonferenz,Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-06-17 00:00:00,14:30 - 17:00 Uhr,2020
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Kein Frieden mit Massenarbeitslosigkeit,Angerdreieck,2020-07-02 00:00:00,17:00 - 18:00 Uhr,2020
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Hiroshima und Nagasaki mahnen,Angerdreieck,2020-08-06 00:00:00,17:00 - 18:00 Uhr,2020
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Weltfrieden + 16 Jähriges,Angerdreieck,2020-09-03 00:00:00,17:00 - 18:00 Uhr,2020
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,"Was hat die ""Deutsche Einheit"" gebracht?",Fischmarkt,2020-10-01 00:00:00,17:00 - 18:00 Uhr,2020
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Aufstehen gegen die Umweltkrise!,Fischmarkt,2020-10-29 00:00:00,17:00 - 18:00 Uhr,2020
Erfurter Bündnis für soziale Gerechtigkeit - gegen Rechtsextremismus,Zur Reichspogromnacht,Angerdreieck,2020-11-12 00:00:00,17:00 - 18:00 Uhr,2020
Ezra und Auf die Plätze - Bündnis,Bleiberecht statt Abschiebung,"Mainzerhofstraße 10, vor Eingang des COMCENTER Brühl",2020-06-19 00:00:00,11:00 - 13:00 Uhr,2020
Internationalistisches Bündnis Erfurt,Schluss mit der Bombadierung des Irak / Südkurdistan durch die Türkei,Willy-Brandt-Platz (Auftakt) --> Bahnhofstraße --> Angerdreieck (Abschluss),2020-06-19 00:00:00,17:00 - 19:00 Uhr,2020
"Deutsch-Russische Freundschaftsgesellschaft in Thüringen e.V., Ortsgruppe Erfurt",Nie wieder Krieg gegen Russland - Gedenken des 79.Jahrestages des Überfalls auf die Sowjetunion,"Friedensstele auf kleinem Platz vor Osteingang der ega, bei Cyriakstraße/Gotaher Platz",2020-06-22 00:00:00,17:00 - 17:30 Uhr,2020
Kaisersaal Gastronomie- und Veranstaltung GmbH,Night of Light,Fischmarkt,2020-06-22 00:00:00,20:00 - 02:00 Uhr,2020
LITECOM gmbH,Demonstration um auf die Lage der Veranstaltungwirtschaft in Coronazeiten hinzuweisen,Domplatz,2020-06-22 00:00:00,16:00 - 01:00 Uhr,2020
Fridays For Future Erfurt,Fahrraddemonstration,"Angerdreieck (Startkundgebung) --> Anger (Richtung Osten) --> Krämpfertor --> Juri-Gagarin-Ring (Richtung Norden) --> Johannesstraße --> Magdeburger Allee (Richtung Norden, Wende Ilversgefofener Platz) --> Magdeburger Allee (Richtung Süden) --> Stauffenbergallee (Richtung Süden) --> Clara-Zetkin-Straße --> Häßlerstraße --> Johann-Sebastian-Bach Straße --> Arnstädter Straße (Richtung Norden) --> Löberstraße --> Juri-Gagarin-Ring --> Karl-Marx-Platz --> Dalbergsweg --> Walkmühlstraße --> Boinifaciusstraße --> Maximilian Straße --> Lauentor --> Domplatz --> Marktstraße --> Fischmarkt --> Schlösserstraße --> Angerdreieck (Ende)",2020-06-26 00:00:00,16:00 - 19:00 Uhr,2020
Neue Stärke Erfurt e.V. ABGESAGT !!,Die Neue Stärke informiert - Taten statt Worte! Zeit zum Handeln! Rücktritt Czentarra JETZT!,Scharnhorststraße,2020-09-01 00:00:00,15:00 - 17:00 Uhr,2020
Einzelperson ABGESAGT !!,*Biker for Freedom*,Erfurt (über B7 Nohra) --> Werner-Seelenbinder-Straße 8 --> Schmidtstedter Knoten --> Haarberg,2020-07-04 00:00:00,14.00 - 17.00 Uhr,2020
Albert Schweitzer Stiftung für unsere Mitwelt,Massentierhaltung gefährdet die Gesundheit - Schütze dich und die Tiere (Zoonosen),Neuer Angerbrunnen bis Anger 8 Schilderlinie,2020-06-27 00:00:00,14:00 - 17:00 Uhr,2020
Ahmadiyya Muslim Jamaat KdöR,Liebe für Alle Hass für Keinen,Angerdreieck,2020-06-27 00:00:00,13.00 - 18.00 Uhr,2020
Einzelperson,Schluss mit der Bombardierung des Irak / Südkurdistan durch die Türkei!,Willy-Brandt-Platz + Aufzug,2020-07-18 00:00:00,16.00 - 19.00 Uhr,2020
Patriotischer Widerstand Deutschland-Thüringen-Sachsen / Neues Deutsches Forum,Gegen Grundrechteentzug - Für Bürgerrechte,Domplatz vor dem Hochbeet in Richtung Domplatz (Auftaktkundgebung) --> Domplatz --> Fischmarkt --> Anger --> Domplatz --> Domplatz (Abschlusskundgebung,2020-07-04 00:00:00,15:00 - 21:00,2020
Klimagerechtigkeit Erfurt und ADFC/Radentscheid,Verschleppter Radwegeausbau,vor der Thüringenhalle,2020-07-01 00:00:00,16:30 - 17:00 Uhr,2020
Fridays For Future Erfurt,Klimademo,Angerdreieck (Startkundgebung) --> Bahnhofstraße --> Juri-Gagarin-Ring (Richtung Westen) --> Karl-Marx-Platz --> Lutherstraße --> Regierungsstraße --> Staatskanzlei (Zwischenkundgebung) --> Anger --> Angerdreieck (Abschlusskundgebung),2020-07-31 00:00:00,14:00 - 17:00 Uhr,2020
Decolonize Erfurt,Für die Umbenennung des Nettelbeckufers in Gert-Schramm-Ufer,Fischmarkt,2020-07-11 00:00:00,13.30 - 17.00 Uhr,2020
MENSCHLICHE WELT,Meditation und Menschlickeit,Domplatz,2020-07-11 00:00:00,14.15 - 17.30 Uhr,2020
Industriegewerkschaft Bauen-Agrar-Umwelt,Betriebsfahrzeuge für Forstbeschäftigte von ThüringenForst,Beethovenstraße 3,2020-07-13 00:00:00,13:30 - 15:00 Uhr,2020
Anonymous for the Voiceless,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-07-18 00:00:00,15:00 - 18:00 Uhr,2020
Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-07-11 00:00:00,15.30 - 18.00 Uhr,2020
Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-07-18 00:00:00,15.30 - 18.00 Uhr,2020
Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-07-25 00:00:00,15.30 - 18.00 Uhr,2020
Bündnis für Klimagerechtigkeit und ADFC / Radentscheid,Verschleppter Radwegeausbau,Juri-Gagarin-Ring 150,2020-07-16 00:00:00,16:30 - 17:00 Uhr,2020
Einzelperson,CDU - Ich will da rein,Friedrich-Erbert-Straße 63,2020-07-29 00:00:00,09:00 - 18:00 Uhr,2020
Critical Mass Erfurt,"Aufmerksamkeit schaffen, für Verbesserung der Radverkehrsbedingungen in um Erfurt",Willy-Brandt-Platz à Bürgermeister-Wagner-Straße à Juri-Gagarin-Ring à Trommsdorffstraße à Stauffenbergallee à Magdeburger Allee à Ilversgehofener Platz à Mittelhäuser Straße à Riethstraße à Mainzer Straße à Mittelhäuser Straße à Straße der Nationen à Dubliner Straße à Lissabonner Straße à Nordhäuser Straße à Bergstraße à Blumenstraße à Heinrichstraße à Straße des Friedens à Alfred-Hess-Straße à Steigerstraße à Schillerstraße à Heinrich-Mann-Straße à Löberwallgraben à Löberstraße à Juri-Gagarin-Ring à Karl-Marx-Platz à Dalbergsweg à Walkmühlstraße à Brühlerwallstraße à Straße des Friedens à Heinrichstraße à Binderslebener Landstraße à Hugo-Preuß-Platz à Lauentor à Domplatz,2020-07-31 00:00:00,18:30 - 20:15 Uhr,2020
Ahmadiyya Muslim Jamaat KdöR,"Muslime für Frieden, Liebe für alle Hass für keinen",Fischmarkt,2020-07-25 00:00:00,11.00 - 18.00 Uhr,2020
"Jugendverband ""Rebell""",Aktionstag gegen Rassismus,Fischmarkt,2020-08-28 00:00:00,16:00 - 17:30 Uhr,2020
Einzelperson,Solidarität mit Betroffenen rechter gewalt - Die Taten beim Namen nennen! Faschistische Angriffe aufdecken und aufklären!,Hirschgarten,2020-08-01 00:00:00,14.00 - 18.00 Uhr,2020
Theater Erfurt,"Theaterfest ""Theatrale""",Aufzug Innenstadt,2020-09-20 00:00:00,11.30 - 18.00 Uhr,2020
Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-08-08 00:00:00,15.30 - 18.00 Uhr,2020
Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-08-15 00:00:00,15.30 - 18.00 Uhr,2020
Einzelperson,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-08-22 00:00:00,15.30 - 18.00 Uhr,2020
Einzelperson ABGESAGT !!,Für die Freiheit und die Rechte des Menschen,Domplatz,2020-08-29 00:00:00,15.30 - 18.00 Uhr,2020
Radentscheid Erfurt n.e.V.,Auftaktveranstaltung für den Start der Unterschriftensammelgsphase des Radentscheid Erfurt n.e.V.,Domplatz,2020-08-12 00:00:00,16:30 - 19:00 Uhr,2020
Decolonize Erfurt,25 Jahre Deserteursdenkmal sind 109 Jahre Nettelbeckufer zuviel,Fischmarkt,2020-09-01 00:00:00,14:30 - 17:30 Uhr,2020
Decolonize Erfurt,"Gegen Nationalismus, Krieg und Durchhalteterror - Gedenkkundgebung am Deserteurdenkmal",Deserteurdenkmal am Petersberg,2020-09-01 00:00:00,17:50 - 19:15 Uhr,2020
Anonymous for the Voicelesse,Abschaffung des Tierleides durch Veganismus,Fischmarkt,2020-08-15 00:00:00,15:00 - 18:00 Uhr,2020
Bündnis für Klimagerechtigkeit,Globaler Klimastreik - Klimagerechtigkeit jetzt,"Kreuzung Schillerstraße - Weimarische Straße -
Clara-Zetkin-Straße - Stauffenbergallee (Aufbau ca. 1 Stunde, Auftaktkundgebung ca. 30 Minuten) --> Stauffenbergallee --> Kreuzung Stauffenbergallee / Franckestraße --> Schlachthostraße (Abschlusskundgebung ca. 2 Stunden, Abbau ca. 30 Minuten)",2020-09-25 00:00:00,14:00 - 19:00 Uhr,2020
OMAS GEGEN RECHTS Erfurt,Demokratiegespräche (jeden 1. Mittwoch im Monat),Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-09-02 00:00:00,12:00 - 13:00 Uhr,2020
OMAS GEGEN RECHTS Erfurt,Demokratiegespräche (jeden 1. Mittwoch im Monat),Regierungsstraße 73 (vor Thüringer Staatskanzlei),2020-10-07 00:00:00,12:00 - 13:00 Uhr,2020
Einzelperson,"Für die Freiheit und die Rechte der Menschen (Denn: ""Corona"" ist nicht das Problem, ""Corona"" ist Teil des Problems)",Domplatz (Obekisk),2020-09-05 00:00:00,15.30 - 18.00 Uhr,2020
Einzelperson,"Für die Freiheit und die Rechte der Menschen (Denn: ""Corona"" ist nicht das Problem, ""Corona"" ist Teil des Problems)",Domplatz (Obekisk),2020-09-12 00:00:00,15.30 - 18.00 Uhr,2020
Einzelperson,"Für die Freiheit und die Rechte der Menschen (Denn: ""Corona"" ist nicht das Problem, ""Corona"" ist Teil des Problems)",Domplatz (Obekisk),2020-09-19 00:00:00,15.30 - 18.00 Uhr,2020
Einzelperson,"Für die Freiheit und die Rechte der Menschen (Denn: ""Corona"" ist nicht das Problem, ""Corona"" ist Teil des Problems)",Domplatz (Obelisk),2020-09-26 00:00:00,15.30 - 18.00 Uhr,2020
Einzelperson,Nein sagen zur Trodesstrafe im Iran,Domplatz,2020-08-22 00:00:00,17:00 - 19:00 Uhr,2020
Einzelperson,ALARMSTUFE ROT! - Veranstaltungswirtschaft in der Existenz bedroht - ohne Hilfen der Politik!,Thüringer Landtag,2020-08-19 00:00:00,12.05 - 18.00 Uhr,2020
Einzelperson,ALARMSTUFE ROT! - Veranstaltungswirtschaft in der Existenz bedroht - ohne Hilfen der Politik!,Aufzug Domplatz --> Innenstadt --> Domplatz,2020-08-26 00:00:00,12.05. - 18.00 Uhr,2020
Einzelperson,ALARMSTUFE ROT! - Veranstaltungswirtschaft in der Existenz bedroht - ohne Hilfen der Politik!,Aufzug: Thüringenhalle --> Landtag,2020-09-02 00:00:00,12.05 - 18.00 Uhr,2020
International Justice Mission Deutschland e.V.,Menschenhandel und moderne Sklaverei,Angerdreieck,2020-10-17 00:00:00,12.00 - 17.00 Uhr,2020
Auf die Plätze - Bündnis Erfurt,"Erinnerung, Gerechtigkeit, Aufklärung, Konsequenzen - 6 Monate nach Hanau",Staatskanzlei  --> Lange Brücke --> Domplatz (Zwischenkundgebung) --> Marktstraße --> Fischmarkt (Abschlusskundgebung),2020-08-19 00:00:00,17:00 - 20:00 Uhr,2020
Einzelperson,Protest gegen brutale Gewalt in Belarus (Weißrussland),Fischmarkt,2020-08-16 00:00:00,17.00 - 18.00 Uhr,2020
Fridays For Future Erfurt,Klimademo - Amazonasregenwald,Wenigemarkt,2020-08-28 00:00:00,20.30 - 23.00 Uhr,2020
Ahmadiyya Muslim Jamaat KdöR,Muslime gegen Rassismus,Fischmarkt,2020-08-17 00:00:00,12.00 - 17.00 Uhr,2020
Albert Schweitzer Stiftung für unsere Mitwelt,Protest gegen Massentierhaltung / Massentierhaltung gefährdet die Gesundheit / Karnismus,"Rathausbrücke, von Wengiemarkt 2 bis Hefengasse 1, Podest gegenüber Pittiplatsch",2020-09-05 00:00:00,13.30 - 16.30 Uhr,2020
Seebrücke Erfurt,Grenzen und Seehofer überwinden - Für die Umsetzung des LAP,Fischmarkt,2020-08-27 00:00:00,16.30 - 18.30 Uhr,2020
"freies Bündnis (Partei, Organisations oder Vereinigungs unabhängig)",Massentierhaltung in Deutschland,Willy-Brandt-Platz 1,2020-08-22 00:00:00,10:00 - 16:00 Uhr,2020
VCD,"Critical Mass - ""Heißer Sommer - coole Räder""","Bahnhofsvorplatz (Auftakt) --> Kurt-Schuhmacher-Straße --> Trommsdorfstr. --> über Stauffenbergallee --> Thälmannstraße --> rechts in Leipzigerstraße --> Wende Kreuzung Leipzigerstraße (beim Gartencenter Zimmermann) --> Liebknechtstraße rechts --> rechts in Eugen-Richter-Straße --> links in Friedrich Engels Straße --> links in Salzstraße, dann Salinenstraße --> links in Magdeburger Allee --> rechts in Schlüterstraße --> rechts in Talstraße --> links in Auenstraße --> Moritzstraße --> rechts in Große Ackerhofsgasse --> links in Andreasstraße --> Domplatz (Abschluss)",2020-08-28 00:00:00,18:30 - 20:00 Uhr,2020
